Date,Price,Open,High,Low,Vol.,Change %
3/12/2015,46.9,46.9,47.0,46.9,3.60K,1.30%
3/13/2015,45.6,46.0,46.9,45.6,1.89K,-2.77%
3/16/2015,45.6,45.6,45.6,45.6,,0.00%
3/17/2015,46.5,46.1,46.5,46.0,1.99K,1.97%
3/18/2015,46.5,46.8,46.9,45.6,2.99K,0.00%
3/19/2015,46.0,45.6,46.5,45.6,1.34K,-1.08%
3/20/2015,45.5,45.6,45.6,45.5,1.53K,-1.09%
3/23/2015,46.0,45.6,46.5,45.1,11.71K,1.10%
3/24/2015,45.5,45.1,45.5,45.0,0.40K,-1.09%
3/25/2015,45.5,46.0,46.0,45.0,2.92K,0.00%
3/26/2015,44.8,45.0,45.0,44.8,0.79K,-1.54%
3/27/2015,45.0,45.0,45.0,44.9,5.30K,0.45%
3/30/2015,45.0,44.0,45.0,44.0,3.45K,0.00%
3/31/2015,45.5,46.0,46.0,45.5,0.10K,1.11%
4/1/2015,47.5,45.4,47.9,45.0,18.46K,4.40%
4/2/2015,48.0,47.5,49.5,47.0,57.08K,1.05%
4/6/2015,47.0,48.0,48.0,47.0,1.79K,-2.08%
4/7/2015,47.0,47.9,47.9,47.0,0.22K,0.00%
4/8/2015,47.0,46.7,47.0,46.2,16.08K,0.00%
4/9/2015,47.0,47.0,47.0,46.2,0.15K,0.00%
4/10/2015,47.0,47.0,47.0,47.0,0.01K,0.00%
4/15/2015,47.0,47.0,47.0,47.0,,0.00%
4/16/2015,47.9,47.0,48.0,47.0,2.39K,1.91%
4/17/2015,47.5,47.9,48.0,47.5,12.33K,-0.84%
4/20/2015,47.9,47.9,47.9,47.9,0.28K,0.84%
4/21/2015,48.0,47.9,48.0,47.4,7.08K,0.21%
4/22/2015,47.5,47.9,49.0,47.5,57.36K,-1.04%
4/23/2015,47.0,47.2,47.2,46.5,5.31K,-1.05%
4/24/2015,47.4,48.0,48.0,46.7,0.22K,0.85%
4/27/2015,47.0,47.5,47.5,46.5,0.21K,-0.84%
4/28/2015,46.0,47.0,47.0,46.0,6.49K,-2.13%
4/29/2015,47.0,47.0,48.0,47.0,27.14K,2.17%
4/30/2015,47.1,47.0,48.0,47.0,3.69K,0.21%
5/5/2015,46.6,48.0,48.0,46.6,3.56K,-1.06%
5/6/2015,47.9,47.8,47.9,46.7,15.64K,2.79%
5/7/2015,47.7,47.9,47.9,46.1,3.96K,-0.42%
5/8/2015,47.8,47.8,47.8,46.5,9.50K,0.21%
5/11/2015,47.1,47.5,47.7,47.0,1.51K,-1.46%
5/12/2015,47.1,47.2,47.8,46.8,10.86K,0.00%
